ts,host_mem_total_bytes,host_mem_used_bytes,host_mem_available_bytes,server_rss_kib,server_vsz_kib
2026-05-21T08:48:33Z,133975171072,3510968320,130464202752,3604,7880
2026-05-21T08:48:34Z,133975171072,3804045312,130171125760,3604,7880
2026-05-21T08:48:35Z,133975171072,3593662464,130381508608,3604,7880
2026-05-21T08:48:36Z,133975171072,3785576448,130189594624,3604,7880
2026-05-21T08:48:37Z,133975171072,3623288832,130351882240,3640,7880
2026-05-21T08:48:38Z,133975171072,3829878784,130145292288,3640,7880
2026-05-21T08:48:39Z,133975171072,3600420864,130374750208,36940,47916
2026-05-21T08:48:40Z,133975171072,3816357888,130158813184,514920,5038664
2026-05-21T08:48:41Z,133975171072,3883466752,130091704320,630312,5261776
2026-05-21T08:48:42Z,133975171072,3961151488,130014019584,742780,5937908
2026-05-21T08:48:43Z,133975171072,4005625856,129969545216,799596,7703708
2026-05-21T08:48:44Z,133975171072,4078919680,129896251392,867220,8006412
2026-05-21T08:48:45Z,133975171072,4125691904,129849479168,919908,8060044
2026-05-21T08:48:46Z,133975171072,4199411712,129775759360,1009160,8177412
2026-05-21T08:48:47Z,133975171072,4472434688,129502736384,1144880,8391652
2026-05-21T08:48:48Z,133975171072,4923293696,129051877376,1144880,8391652
2026-05-21T08:48:49Z,133975171072,5003071488,128972099584,1144880,8391652
2026-05-21T08:48:50Z,133975171072,5092753408,128882417664,1144880,8391652
2026-05-21T08:48:51Z,133975171072,5116547072,128858624000,1144880,8391652
2026-05-21T08:48:52Z,133975171072,5203070976,128772100096,1145040,8391652
2026-05-21T08:48:53Z,133975171072,5449297920,128525873152,1145040,8391652
2026-05-21T08:48:54Z,133975171072,5548728320,128426442752,1145040,8391652
2026-05-21T08:48:55Z,133975171072,5602193408,128372977664,1145040,8391652
2026-05-21T08:48:56Z,133975171072,5642588160,128332582912,1145040,8391652
2026-05-21T08:48:57Z,133975171072,7101145088,126874025984,1145040,8391652
2026-05-21T08:48:58Z,133975171072,8975003648,125000167424,1145040,8391652
2026-05-21T08:48:59Z,133975171072,10228670464,123746500608,1145040,8391652
2026-05-21T08:49:00Z,133975171072,11523649536,122451521536,1145040,8391652
2026-05-21T08:49:01Z,133975171072,12968390656,121006780416,1145040,8391652
2026-05-21T08:49:02Z,133975171072,13891551232,120083619840,1145040,8391652
2026-05-21T08:49:03Z,133975171072,9467834368,124507336704,1145040,8391652
2026-05-21T08:49:04Z,133975171072,9451536384,124523634688,1145040,8391652
2026-05-21T08:49:05Z,133975171072,9435242496,124539928576,1145040,8391652
2026-05-21T08:49:06Z,133975171072,9419984896,124555186176,1145040,8391652
2026-05-21T08:49:07Z,133975171072,9403920384,124571250688,1145040,8391652
2026-05-21T08:49:08Z,133975171072,9387651072,124587520000,1145040,8391652
2026-05-21T08:49:09Z,133975171072,9371029504,124604141568,1145040,8391652
2026-05-21T08:49:10Z,133975171072,9355018240,124620152832,1145040,8391652
2026-05-21T08:49:11Z,133975171072,9414676480,124560494592,1145040,8391652
2026-05-21T08:49:12Z,133975171072,9433952256,124541218816,1145040,8391652
2026-05-21T08:49:13Z,133975171072,9458745344,124516425728,1145040,8391652
2026-05-21T08:49:14Z,133975171072,9467260928,124507910144,1145040,8391652
2026-05-21T08:49:15Z,133975171072,10696646656,123278524416,1145040,8391652
2026-05-21T08:49:16Z,133975171072,11230031872,122745139200,1145040,8391652
2026-05-21T08:49:17Z,133975171072,12254507008,121720664064,1145040,8391652
2026-05-21T08:49:18Z,133975171072,12954861568,121020309504,1145040,8391652
2026-05-21T08:49:19Z,133975171072,13416386560,120558784512,1145040,8391652
2026-05-21T08:49:20Z,133975171072,14111272960,119863898112,1145040,8391652
2026-05-21T08:49:21Z,133975171072,14417092608,119558078464,1145040,8391652
2026-05-21T08:49:22Z,133975171072,15732015104,118243155968,1145040,8391652
2026-05-21T08:49:23Z,133975171072,16173285376,117801885696,1145040,8391652
2026-05-21T08:49:24Z,133975171072,16764796928,117210374144,1145040,8391652
2026-05-21T08:49:25Z,133975171072,16872103936,117103067136,1145040,8391652
2026-05-21T08:49:26Z,133975171072,17114689536,116860481536,1145040,8391652
2026-05-21T08:49:27Z,133975171072,17213050880,116762120192,1145040,8391652
2026-05-21T08:49:28Z,133975171072,17792589824,116182581248,1145040,8391652
2026-05-21T08:49:29Z,133975171072,17411088384,116564082688,1145040,8391652
2026-05-21T08:49:31Z,133975171072,17757138944,116218032128,1145040,8391652
2026-05-21T08:49:32Z,133975171072,18156371968,115818799104,1145040,8391652
2026-05-21T08:49:33Z,133975171072,18801082368,115174088704,1145040,8391652
2026-05-21T08:49:34Z,133975171072,17963757568,116011413504,1145040,8391652
2026-05-21T08:49:35Z,133975171072,18073960448,115901210624,1145040,8391652
2026-05-21T08:49:36Z,133975171072,18144628736,115830542336,1207152,8602528
2026-05-21T08:49:37Z,133975171072,18205827072,115769344000,1378332,9656620
2026-05-21T08:49:38Z,133975171072,18179796992,115795374080,1378448,9656620
2026-05-21T08:49:39Z,133975171072,18316009472,115659161600,1378448,9656620
2026-05-21T08:49:40Z,133975171072,18323742720,115651428352,1378448,9656620
2026-05-21T08:49:41Z,133975171072,18468401152,115506769920,1378476,9656620
2026-05-21T08:49:42Z,133975171072,18529402880,115445768192,1379216,9656620
2026-05-21T08:49:43Z,133975171072,18532409344,115442761728,1379252,9656620
2026-05-21T08:49:44Z,133975171072,18581823488,115393347584,1379432,9656620
2026-05-21T08:49:45Z,133975171072,18574397440,115400773632,1379432,9656620
2026-05-21T08:49:46Z,133975171072,18572238848,115402932224,1379480,9656620
2026-05-21T08:49:47Z,133975171072,18569035776,115406135296,1379520,9656620
2026-05-21T08:49:48Z,133975171072,18578903040,115396268032,1379520,9656620
2026-05-21T08:49:49Z,133975171072,18704662528,115270508544,1379900,9656620
2026-05-21T08:49:50Z,133975171072,18719830016,115255341056,1379900,9656620
2026-05-21T08:49:51Z,133975171072,18709893120,115265277952,1379900,9656620
2026-05-21T08:49:52Z,133975171072,18690916352,115284254720,1379976,9656620
2026-05-21T08:49:53Z,133975171072,18669752320,115305418752,1379976,9656620
2026-05-21T08:49:54Z,133975171072,18647633920,115327537152,1379976,9656620
2026-05-21T08:49:55Z,133975171072,18635005952,115340165120,1380124,9656620
2026-05-21T08:49:56Z,133975171072,18624737280,115350433792,1380124,9656620
2026-05-21T08:49:57Z,133975171072,18771324928,115203846144,1380804,9656620
2026-05-21T08:49:58Z,133975171072,18827767808,115147403264,1380804,9656620
